model,dataset,fpr,tpr,threshold
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.04579278763594734,0.1800878477306003,0.5665392646542768
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.04693760732684602,0.1800878477306003,0.5661729661296278
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.04693760732684602,0.1815519765739385,0.5637888475846542
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.048082427017744706,0.1815519765739385,0.5623122902556661
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.048082427017744706,0.18301610541727673,0.5614908251819678
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.048654836863194044,0.18301610541727673,0.561108742057685
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.04922724670864339,0.18448023426061494,0.5608971011197859
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.05094447624499141,0.18448023426061494,0.5597540147351907
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.05094447624499141,0.1903367496339678,0.5584127238137094
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.05151688609044076,0.1903367496339678,0.5576019802454343
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.05151688609044076,0.191800878477306,0.5567781494991285
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.052089295935890095,0.191800878477306,0.5564928009541957
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.052089295935890095,0.19619326500732065,0.5541081276141245
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.05266170578133944,0.19619326500732065,0.5522140404667037
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.053806525472238124,0.19619326500732065,0.552020957972262
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.05437893531768746,0.19619326500732065,0.5503861443042228
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.05437893531768746,0.2005856515373353,0.5492415235330805
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.05552375500858615,0.2005856515373353,0.5486780049791499
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.05609616485403549,0.2005856515373353,0.548452813773445
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.05609616485403549,0.20497803806734993,0.5468898067442352
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.05666857469948483,0.20497803806734993,0.5466181233336581
