model,dataset,precision,recall,threshold
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3081998114985862,0.9575402635431918,0.2323180809268637
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30834512022630833,0.9575402635431918,0.2328403708569602
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30849056603773584,0.9575402635431918,0.2339264218248678
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3087818696883853,0.9575402635431918,0.2340441220900626
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30892772791686346,0.9575402635431918,0.2341120408497475
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30907372400756145,0.9575402635431918,0.2346623706239126
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30921985815602837,0.9575402635431918,0.2350624691217923
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3093661305581835,0.9575402635431918,0.2354089092676267
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3095125414103171,0.9575402635431918,0.2357132813719375
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30980577925153957,0.9575402635431918,0.2359827087160027
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.30947867298578197,0.9560761346998536,0.236331457279178
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3100664767331434,0.9560761346998536,0.2363630465527628
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3102137767220903,0.9560761346998536,0.2364451391386576
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.310361216730038,0.9560761346998536,0.2368085961938482
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.31018078020932444,0.9546120058565154,0.2369722815942294
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.31032841504045694,0.9546120058565154,0.2372551239343981
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.31047619047619046,0.9546120058565154,0.2374197430552289
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.31014768937589327,0.9531478770131772,0.2375476683133006
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3104434907010014,0.9531478770131772,0.2375487077757821
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.31059160305343514,0.9531478770131772,0.237571449394664
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3107398568019093,0.9531478770131772,0.2375927328916237
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3110367892976589,0.9531478770131772,0.2381250573133869
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.31148325358851675,0.9531478770131772,0.2381701972108595
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3117816091954023,0.9531478770131772,0.238750725796752
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.3114518447532343,0.9516837481698389,0.2388577024484443
